name,phone,website,email,location,insurance,treatmentSetting,services,languages,agesServicing,state,address,overview,treatment_settings,ages_served,services_provided,clinicians,contact_form,url
A New Day ABA,907-931-6385,https://www.anewdayaba.com/,Katie@ANewDayABA.com,"Anchorage, Alaska, Anchorage, AK",,,,,,AK,,,,,,,,
Alaska Pediatric Therapy LLC,907-561-1478,http://alaskapediatrictherapy.com/,alaskapediatrictherapy@gmail.com,"4600 Business Park Blvd D-24, Anchorage, AK 99503, USA, Anchorage, AK 99503",,,,,,AK,,,,,,,,
"Alaska Pediatric Therapy, LLC",907-726-1202,http://alaskapediatrictherapy.com/,alaskapediatrictherapy@gmail.com,"12001 Business Blvd, Eagle River, AK 99577, USA, Eagle River, AK 99577",,,,,,AK,,,,,,,,
"Aspire Behavior Solutions, LLC",907-687-5332,https://aspirebehavior.com/,admin@aspirebehavior.com,"3520 Industrial Ave, Fairbanks, AK 99701, United States, Fairbanks, AK 99701",,,,,,AK,,,,,,,,
Aurora Behavior Services Excellence in Applied Behavior Analysis,907-350-8893,https://aurorabehaviorservices.com/,kellybcba@gmail.com,"16331 Heritage Pl, Eagle River, AK 99577, United States, Anchorage, AK 99577",,,,,,AK,,,,,,,,
"Autism and Behavior Solutions, LLC",907-669-0123,https://autismbx.com/,,"1076 Badger Rd, North Pole, AK 99705, USA, North Pole, AK 99705",,,,,,AK,,,,,,,,
Behavior Matters LLC Alaska,907-206-4421,https://behaviormattersllc.com/,info@behaviormattersllc.com,"16941 N Eagle River Loop Rd STE 3, Eagle River, AK 99577, United States, Anchorage, AK 99577",,,,,,AK,,,,,,,,
"Family Outreach Center for Understanding Special Needs, Inc.",907 69 6002,https://www.focusoutreach.org/,info@focusoutreach.org,"16635 Centerfield Dr STE 103 Eagle River, AK 99577, Eagle River, AK 99577",,,,,,AK,,,,,,,,
Pediatric Resource Center of Alaska,907-214-1674,https://www.prcalaska.org/,Admin@PRCAlaska.org,"34851 Kenai Spur Hwy Suite 2, Soldotna, AK 99669, United States, Soldotna, AK 99669",,,,,,AK,,,,,,,,
Special Education Service Agency,907-334-1300,http://sesa.org/,sesa@sesa.org,"3501 Denali Street 101, Anchorage, AK 99503, Suite 101,United States, Anchorage, AK 99503",,,,,,AK,,,,,,,,
Step In Autism Services of Alaska,907-374-7001,https://stepinautism.com/,stepinalaskabcba@gmail.com,"3568 Geraghty Ave, Fairbanks, AK 99709, USA, Fairbanks, AK 99709",,,,,,AK,,,,,,,,
Stone Soup Group,907-561-3701,https://www.stonesoupgroup.org/,info@stonesoupgroup.org,"307 E Northern Lights Blvd #100, Anchorage, AK 99503, United States, Anchorage, AK 99503",,,,,,AK,,,,,,,,
"ABA Associates, LLC",334-618-3302,,,"112 Adris Pl, Dothan, AL 36303, United States, Dothan, AL 36303",,,,,,AL,,,,,,,,
ABA Therapy & Consulting Services,334-714-3696,http://abatherapydothan.com/,ketheredge@abatherapydothan.com,"200 Grove Park Ln Suite 110, Dothan, AL 36305, United States, Dothan, AL 36305",,,,,,AL,,,,,,,,
Alabama Autism Center,256-686-3169,http://www.alabamaautismcenter.com/,info@alabamaautismcenter.com,"1690 Beltline Rd SW Suite B, Decatur, AL 35601, United States, Decatur, AL 35601",,,,,,AL,,,,,,,,
Beacon of Hope ABA,334-379-0729,https://www.ababeaconofhope.com/,BeaconofHopeABA@gmail.com,"181 W Reynolds St, Ozark, AL 36360, United States, Ozark, AL 36360",,,,,,AL,,,,,,,,
Bridgeway ABA Therapy,334-363-3359,https://www.facebook.com/BridgewayABA,info@bridgewayaba.com,"2751 Legends Pkwy, Prattville, AL 36066, United States, Prattville, AL 36066",,,,,,AL,,,,,,,,
Bright Futures ABA Therapy,334-661-7635,http://abatherapybrightfutures.com/,admin@abatherapybrightfutures.com,"1016 Boll Weevil Cir Suite 2, Enterprise, AL 36330, United States, Enterprise, AL 36330",,,,,,AL,,,,,,,,
Dr. Harrison ABA Center,334-709-4386,https://drhaba.com/,,"807 Donnell Blvd suite r, Daleville, AL 36322, United States, Daleville, AL 36322",,,,,,AL,,,,,,,,
Everything On The Spectrum,256-701-4410,https://www.everythingonthespectrum.com/,dana@everythingonthespectrum.com,"2117 Metro Cir SW Suite A, Huntsville, AL 35801, United States, Huntsville, AL 35801",,,,,,AL,,,,,,,,
"FREEDOM Therapies, Inc",205-358-7311,,,"432 Cedar Grove Ln, , AL",,Center-based; Home-based; School-based,Community,English,,AL,,,,,,,,
Great Leaps Learning,334-491-3020,http://www.greatleapslearning.com/,bschmidt@greatleapslearningcenter.com,"114 Medical Center Dr, Prattville, AL 36066, United States, Prattville, AL 36066",,,,,,AL,,,,,,,,
High Hopes 4 Autism,251-986-7007,https://highhopes4autism.org/,highhopes4autism@gmail.com,"12786 Illinois St, Elberta, AL 36530, United States, Elberta, AL 36530",,,,,,AL,,,,,,,,
Hopebridge  Autism Therapy Center,325-229-4667,https://www.hopebridge.com/,,"1820 Southpark Dr, Hoover, AL 35244, United States, Hoover, AL 35244",,,,,,AL,,,,,,,,
Inquiring Minds - Behavioral and Developmental Services,256-666-0477,https://www.inquiringmindsbds.com/,admin@inquiringmindsbds.com,"4769 Whitesburg Dr #202, Huntsville, AL 35802, United States, Huntsville, AL 35802",,,,,,AL,,,,,,,,
Inquiring Minds - Behavioral and Developmental Services,256-666-0477,https://www.inquiringmindsbds.com/,admin@inquiringmindsbds.com,"4769 Whitesburg Dr #202, Huntsville, AL 35802, United States, Huntsville, AL 35802",,,,,,AL,,,,,,,,
Madison Behavior Therapy,256-489-8660,https://www.madisonaba.com/,info@madisonaba.com,"475 Providence Main Street | Suite 201 Huntsville, AL 35806, Madison, AL 35806",,,,,,AL,,,,,,,,
