name,phone,website,email,address,city,state,zip,source_state,latitude,longitude
A New Day ABA,(907) 931-6385,https://www.anewdayaba.com/,Katie@ANewDayABA.com,Anchorage,Anchorage,AK,,AK,61.2175758,-149.8996785
Alaska Pediatric Therapy LLC,(907) 561-1478,http://alaskapediatrictherapy.com/,alaskapediatrictherapy@gmail.com,4600 Business Park Blvd D-24,Anchorage,AK,99503,AK,61.1789652,-149.8894296
"Alaska Pediatric Therapy, LLC",(907) 726-1202,http://alaskapediatrictherapy.com/,alaskapediatrictherapy@gmail.com,12001 Business Blvd,Eagle River,AK,99577,AK,61.32895730000001,-149.5700343
"Aspire Behavior Solutions, LLC",(907) 687-5332,https://aspirebehavior.com/,admin@aspirebehavior.com,3520 Industrial Ave,Fairbanks,AK,99701,AK,64.813546,-147.7563995
Aurora Behavior Services Excellence in Applied Behavior Analysis,(907) 350-8893,https://aurorabehaviorservices.com/,kellybcba@gmail.com,16331 Heritage Pl,Anchorage,AK,99577,AK,61.3245029,-149.5773639
"Autism and Behavior Solutions, LLC",(907) 669-0123,https://autismbx.com/,,1076 Badger Rd,North Pole,AK,99705,AK,64.8299552,-147.5421773
Behavior Matters LLC Alaska,(907) 206-4421,https://behaviormattersllc.com/,info@behaviormattersllc.com,16941 N Eagle River Loop Rd STE 3,Anchorage,AK,99577,AK,61.32944149999999,-149.565316
"Family Outreach Center for Understanding Special Needs, Inc.",907696002,https://www.focusoutreach.org/,info@focusoutreach.org,16635 Centerfield Dr STE 103 Eagle River,Eagle River,AK,99577,AK,61.3227352,-149.5724841
Pediatric Resource Center of Alaska,(907) 214-1674,https://www.prcalaska.org/,Admin@PRCAlaska.org,34851 Kenai Spur Hwy Suite 2,Soldotna,AK,99669,AK,60.48629869999999,-151.058688
Special Education Service Agency,(907) 334-1300,http://sesa.org/,sesa@sesa.org,3501 Denali Street 101,Anchorage,AK,99503,AK,61.1886277,-149.8764367
Step In Autism Services of Alaska,(907) 374-7001,https://stepinautism.com/,stepinalaskabcba@gmail.com,3568 Geraghty Ave,Fairbanks,AK,99709,AK,64.8379691,-147.8082913
Stone Soup Group,(907) 561-3701,https://www.stonesoupgroup.org/,info@stonesoupgroup.org,307 E Northern Lights Blvd #100,Anchorage,AK,99503,AK,61.1955932,-149.8775241
"ABA Associates, LLC",(334) 618-3302,,,112 Adris Pl,Dothan,AL,36303,AL,31.2447258,-85.4589393
ABA Therapy & Consulting Services,(334) 714-3696,http://abatherapydothan.com/,ketheredge@abatherapydothan.com,200 Grove Park Ln Suite 110,Dothan,AL,36305,AL,31.23657,-85.465797
Alabama Autism Center,(256) 686-3169,http://www.alabamaautismcenter.com/,info@alabamaautismcenter.com,1690 Beltline Rd SW Suite B,Decatur,AL,35601,AL,34.5694863,-87.01217
Beacon of Hope ABA,(334) 379-0729,https://www.ababeaconofhope.com/,BeaconofHopeABA@gmail.com,181 W Reynolds St,Ozark,AL,36360,AL,31.4579835,-85.6414149
Bridgeway ABA Therapy,(334) 363-3359,https://www.facebook.com/BridgewayABA,info@bridgewayaba.com,2751 Legends Pkwy,Prattville,AL,36066,AL,32.4592483,-86.3972982
Bright Futures ABA Therapy,(334) 661-7635,http://abatherapybrightfutures.com/,admin@abatherapybrightfutures.com,1016 Boll Weevil Cir Suite 2,Enterprise,AL,36330,AL,31.3344459,-85.8477041
Dr. Harrison ABA Center,(334) 709-4386,https://drhaba.com/,,807 Donnell Blvd suite r,Daleville,AL,36322,AL,31.3198003,-85.70896410000002
Everything On The Spectrum,(256) 701-4410,https://www.everythingonthespectrum.com/,dana@everythingonthespectrum.com,2117 Metro Cir SW Suite A,Huntsville,AL,35801,AL,34.7004096,-86.59271500000001
"FREEDOM Therapies, Inc",(205) 358-7311,,,432 Cedar Grove Ln,,AL,,AL,33.2376986,-86.8533037
Great Leaps Learning,(334) 491-3020,http://www.greatleapslearning.com/,bschmidt@greatleapslearningcenter.com,114 Medical Center Dr,Prattville,AL,36066,AL,32.4808835,-86.4242273
High Hopes 4 Autism,(251) 986-7007,https://highhopes4autism.org/,highhopes4autism@gmail.com,12786 Illinois St,Elberta,AL,36530,AL,30.41142799999999,-87.60066890000002
Hopebridge  Autism Therapy Center,(325) 229-4667,https://www.hopebridge.com/,,1820 Southpark Dr,Hoover,AL,35244,AL,33.3500399,-86.79412459999999
Inquiring Minds - Behavioral and Developmental Services,(256) 666-0477,https://www.inquiringmindsbds.com/,admin@inquiringmindsbds.com,4769 Whitesburg Dr #202,Huntsville,AL,35802,AL,34.6944364,-86.5668317
Madison Behavior Therapy,(256) 489-8660,https://www.madisonaba.com/,info@madisonaba.com,475 Providence Main Street | Suite 201 Huntsville,Madison,AL,35806,AL,34.75470600000001,-86.6921699
MILESTONES BEHAVIOR GROUP,(205) 207-2066,http://www.milestonesaba.com/,,6169 Hwy 11 Springville,Birmingham,AL,35146,AL,33.3192038,-86.714361
MILESTONES BEHAVIOR GROUP,(205) 207-2066,http://www.milestonesaba.com/,,6169 Hwy 11  Springville,Springville,AL,35146,AL,33.3192038,-86.714361
Mitchell's Place,(205) 957-0294,,,4778 Overton Rd,,AL,,AL,33.5005581,-86.69541230000002
Mobile Bay ABA  Autism Center,(251) 287-2442,https://mobilebayaba.com/,INFO@MOBILEBAYABA.COM,5550 Old Shell Rd,Mobile,AL,36608,AL,30.6904518,-88.17053849999999
Mobile Bay ABA Autism Center,(251) 287-2442,https://mobilebayaba.com/,INFO@MOBILEBAYABA.COM,5550 Old Shell Rd,,AL,36608,AL,30.6904518,-88.17053849999999
Simplified Behavioral Health,(205) 362-7035,,,203 Narrows Parkway Suite B,,AL,,AL,33.3684934,-86.66400349999999
Simplified Behavioral Health,(205) 362-7035,,,1976 Gadsden Hwy,,AL,,AL,33.6115807,-86.6263622
Smith Group Behavioral Consulting,(334) 332-9077,https://www.smithgroupbc.com/,info@smithgroupbc.com,2206 Executive Park Dr,Opelika,AL,36801,AL,32.6265132,-85.4382543
Southeast Alabama Autism Center,(334) 347-5003,http://www.southeastalabamaautismcenter.com,southeastalabamaautismcenter@gmail.com,1247 Rucker Blvd,Enterprise,AL,36330,AL,31.3296604,-85.81710369999999
The Riley Center,(256) 882-2457,http://www.therileycenter.org/,,306 Wynn Drive,Huntsville,AL,35805,AL,34.7279986,-86.655756
Vision for Hope,(217) 585-5437,,,5767 Cove Commons Drive SE,,AL,,AL,34.6878577,-86.4988094
BlueSprig,(479) 242-4480,https://www.bluesprigautism.com/,,5704 Euper Ln Suite 100,Fort Smith,AR,72903,ALL_STATES,35.3636375,-94.36916959999999
BlueSprig,(479) 957-9121,https://www.bluesprigautism.com/,,3155 N College Ave Suite 108,Fayetteville,AR,72703,ALL_STATES,36.1085486,-94.1459989
BlueSprig,(479) 802-4798,https://www.bluesprigautism.com/,bentonville@bluesprigpediatrics.com,2601 N Walton Blvd,Bentonville,AR,72712,ALL_STATES,36.4039789,-94.21702859999999
Center of Behavior and Learning Transformations,(870) 907-9300,,,601 S Church St,Jonesboro,AR,72401,ALL_STATES,35.837441,-90.7041852
Easterseals Arkansas,(501) 227-3600,,,3920 Woodland Heights Road,,AR,,ALL_STATES,34.789649,-92.402519
"Nash Therapeutic Services, LLC.",(501) 500-2111,http://nashtherapy.net/,info@nashtherapy.net,628 W Broadway St,Little Rock,AR,72114,ALL_STATES,34.7552785,-92.2756332
SageWay Behavioral Health,(479) 318-2300,https://www.sageway.com/,info@sageway.com,1022 Jones Rd,Springdale,AR,72762,ALL_STATES,36.1774119,-94.2110458
Thrive Autism Solutions,(479) 802-4798,https://www.thriveasd.org/services/,,2601 N Walton Bentonville,Bentonville,AR,72712,ALL_STATES,36.4039789,-94.21702859999999
UP Autism Center,(501) 313-5973,https://www.upautismcenter.com/,info@upautismcenter.com,1509 N Pierce St,Little Rock,AR,72207,ALL_STATES,34.7664086,-92.3377345
A Brighter Avenue,(480) 474-4173,https://abrighteravenue.com/,info@abrighteravenue.org,4121 E Valley Auto Dr,Mesa,AZ,85206,ALL_STATES,33.3806711,-111.7434944
ACES,(855) 357-6322,https://www.acesaba.com/,,10320 W McDowell Rd Suite K-1136,Avondale,AZ,85392,ALL_STATES,33.4653518,-112.2827472
Action Behavior Centers,(480) 608-5232,https://www.actionbehavior.com/,info@actionbehavior.com,10900 N Scottsdale Rd Building 500 Suite #501,Gilbert,AZ,85254,ALL_STATES,33.5863746,-111.9267059
Action Behavior Centers,(623) 207-7190,https://www.actionbehavior.com/,info@actionbehavior.com,12725 W Indian School Rd Building D,Avondale,AZ,85392,ALL_STATES,33.4920382,-112.3329948
Action Behavior Centers,(623) 230-4080,https://www.actionbehavior.com/,info@actionbehavior.com,18301 N 79th Ave Building A,Glendale,AZ,85308,ALL_STATES,33.648571,-112.2290874
Action Behavior Centers,(480) 608-5210,https://www.actionbehavior.com/,info@actionbehavior.com,5570 W Chandler Blvd Ste 3,Chandler,AZ,85226,ALL_STATES,33.3079773,-111.9384158
Advanced Autism Center for Treatment,(480) 773-1061,,,4135 S. Power Rd,,AZ,,ALL_STATES,33.3405896,-111.6843315
Advanced Autism Center for Treatment,(480) 773-1061,,,365 East Germann Rd.,,AZ,,ALL_STATES,33.2770582,-111.7817936
Advanced Autism Services,(602) 584-9860,https://advancedautism.com/,office@advancedautism.com,2375 E Camelback Rd Suite 600,Phoenix,AZ,85016,ALL_STATES,33.5087794,-112.0307184
Advanced Behavior Consulting,(602) 393-8574,,,726 E Michelle Dr.,,AZ,,ALL_STATES,33.6506775,-112.064288
"Adventure ABA, LLC",(623) 693-2954,https://www.adventureaba.com/,contact@adventureaba.com,6232 N 7th St STE 100,Phoenix,AZ,85014,ALL_STATES,33.5284166,-112.0655146
Ally Pediatric Therapy,(602) 606-2237,https://allypediatric.com/,Info@allypediatric.com,10595 N Tatum Blvd # E146,Paradise Valley,AZ,85253,ALL_STATES,33.5820933,-111.9766536
Angels and Autism LLC,(520) 886-6537,http://angelsinautismllc.com/,angelsinautismaz@gmail.com,4885 S Houghton Rd 1,Tucson,AZ,85730,ALL_STATES,32.1747929,-110.7727044
Arion Care Solutions,(480) 404-0242,,,3200 N. Dobson Rd.,,AZ,,ALL_STATES,33.3531181,-111.8771665
Arizona Autism,(480) 488-3946,https://arizonaautism.com/,,7120 E Sahuaro Dr,Scottsdale,AZ,85254,ALL_STATES,33.584815,-111.9273086
Arizona Autism Charter School,(602) 882-5544,http://www.autismcharter.org/,,4433 N 7th St,Phoenix,AZ,85014,ALL_STATES,33.50087329999999,-112.0646681
ARIZONA AUTISM COALITION,850446417,https://www.azautism.org/,,4802 E Ray Rd 23,Phoenix,AZ,85044,ALL_STATES,33.3204477,-111.9796752
Arizona Autism Support,(623) 242-2441,,,Mesa,Mesa,AZ,,ALL_STATES,33.4151843,-111.8314724
Arizona Autism United,(602) 773-5773,https://azaunited.org/,info@azaunited.org,5025 E Washington St 212,Phoenix,AZ,85034,ALL_STATES,33.446283,-111.973395
Arizona Center for Autism,(520) 300-6103,http://www.arizonacenterforautism.org/,info@arizonacenterforautism.org,5870 E 14th St,Tucson,AZ,85711,ALL_STATES,32.2167508,-110.8673062
"Arizona Child Psychology, PLLC (Children, Adolescents, Parents)",(602) 824-8804,http://www.arizonachildpsychology.com/,drsct@arizonachildpsychology.com,10210 N 32nd St 213,Phoenix,AZ,85028,ALL_STATES,33.5790904,-112.0135437
Ascend Behavior Partners,(720) 961-3764,,,3420 E Shea Blvd.,,AZ,,ALL_STATES,33.58296000000001,-112.0079394
Aurora Day School,(623) 209-1000,https://catapultlearning.com/schools/aurora-day-school/,,8155 W Thunderbird Rd,Peoria,AZ,85381,ALL_STATES,33.6094428,-112.2348623
Autism Academy for Education & Development Tempe Campus,(480) 240-9255,https://www.aaed.org/,info@aaed.org,7541 S Willow Dr,Tempe,AZ,85283,ALL_STATES,33.3506966,-111.914404
Autism Academy for Education and Development Peoria Campus,(480) 240-9255,https://www.aaed.org/,info@aaed.org,6810 W Thunderbird Rd,Peoria,AZ,85381,ALL_STATES,33.6121691,-112.2056246
