name,place_id,url,website,email,phone,overview,full_address,street,city,state,zipcode,latitude,longitude,status,services,treatment_setting,ages_served,languages,insurance,rating,reviews,type,error_message
Word of Mouth SLP,"Woodlawn Dr, Trumbull, CT 06611",(551) 486-3153,https://www.wordofmouthadultslp.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=6599615167948894044,,551) 486-3153,Speech pathologist,"Woodlawn Dr, Trumbull, CT 06611",Woodlawn Dr,Trumbull,CT,06611,41.251859,-73.208511,🆕 Newly geocoded,,,,,,Word of Mouth SLP,Speech pathologist,,
"Collaborative Speech and Language Therapy, LLC","10 Rexview Cir, Trumbull, CT 06611",(203) 520-4258,http://collabspeech.com/,,203) 520-4258,Speech pathologist,"10 Rexview Cir, Trumbull, CT 06611",10 Rexview Cir,Trumbull,CT,06611,41.248833,-73.203831,🆕 Newly geocoded,,,,,,"Collaborative Speech and Language Therapy, LLC",Speech pathologist,,
The Speech Pathology Group & Rehab Services of CT,"493 Heritage Rd suite 5c 2, Southbury, CT 06488",(475) 239-5512,http://www.spg-ct.com/,,475) 239-5512,Speech pathologist,"493 Heritage Rd suite 5c 2, Southbury, CT 06488",493 Heritage Rd suite 5c 2,Southbury,CT,06488,41.489923,-73.225746,🆕 Newly geocoded,,,,,,The Speech Pathology Group & Rehab Services of CT,Speech pathologist,,
Alabama Pediatric Therapy Services,"3803 Rainbow Dr, Rainbow City, AL 35906",(256) 459-5051,https://alpediatrictherapy.com/,,256) 459-5051,Pediatric clinic,"3803 Rainbow Dr, Rainbow City, AL 35906",3803 Rainbow Dr,Rainbow City,AL,35906,33.950578,-86.048178,🆕 Newly geocoded,,,,,,Alabama Pediatric Therapy Services,Pediatric clinic,,
Speech Therapy For All PC,"524 E Main St #200, Riverhead, NY 11901",(631) 538-0579,http://www.speechtherapyforall.com/,,631) 538-0579,Medical clinic,"524 E Main St #200, Riverhead, NY 11901",524 E Main St #200,Riverhead,NY,11901,40.919829,-72.656058,🆕 Newly geocoded,,,,,,Speech Therapy For All PC,Medical clinic,,
"Therapy for Language and Communication, LLC","300 Church St STE 102, Wallingford, CT 06492",(203) 410-0974,http://www.tlcspeechct.com/,,203) 410-0974,Speech pathologist,"300 Church St STE 102, Wallingford, CT 06492",300 Church St STE 102,Wallingford,CT,06492,41.49184,-72.81892,🆕 Newly geocoded,,,,,,"Therapy for Language and Communication, LLC",Speech pathologist,,
Shoreline Speech and Language Center LLC,"142 Boston Post Rd, Madison, CT 06443",(203) 533-9070,http://www.shorelinespeechcenter.com/,,203) 533-9070,Speech pathologist,"142 Boston Post Rd, Madison, CT 06443",142 Boston Post Rd,Madison,CT,06443,41.2835,-72.63502,🆕 Newly geocoded,,,,,,Shoreline Speech and Language Center LLC,Speech pathologist,,
Steel City Speech,"438 Carr Ave Suite 6, Homewood, AL 35209",(205) 201-0413,https://www.steelcityspeech.com/,,205) 201-0413,Speech pathologist,"438 Carr Ave Suite 6, Homewood, AL 35209",438 Carr Ave Suite 6,Homewood,AL,35209,33.462513,-86.817204,🆕 Newly geocoded,,,,,,Steel City Speech,Speech pathologist,,
Everyday Milestones,"765 Post Rd, Fairfield, CT 06824",(203) 200-0145,http://www.edmilestones.com/,,203) 200-0145,Speech pathologist,"765 Post Rd, Fairfield, CT 06824",765 Post Rd,Fairfield,CT,06824,41.147373,-73.248267,🆕 Newly geocoded,,,,,,Everyday Milestones,Speech pathologist,,
"First Start Speech Language Pathology, LLC","1078 Main St Unit 1, Branford, CT 06405","First Start Speech Language Pathology, LLC",https://firststartslp.com/,,,Speech pathologist,"1078 Main St Unit 1, Branford, CT 06405",1078 Main St Unit 1,Branford,CT,06405,41.282537,-72.810646,🆕 Newly geocoded,,,,,,"First Start Speech Language Pathology, LLC",Speech pathologist,,
The Speech Treehouse,"278 Steiner St, Fairfield, CT 06825",(203) 240-2504,https://thespeechtreehousenyct.com/,,203) 240-2504,Speech pathologist,"278 Steiner St, Fairfield, CT 06825",278 Steiner St,Fairfield,CT,06825,41.18719,-73.25553,🆕 Newly geocoded,,,,,,The Speech Treehouse,Speech pathologist,,
"SNH Speech Therapy & Learning Center, LLC","1 Trafalgar Square #204, Nashua, NH 03063",(603) 577-5517,http://www.snhtlc.com/,,603) 577-5517,Speech pathologist,"1 Trafalgar Square #204, Nashua, NH 03063",1 Trafalgar Square #204,Nashua,NH,03063,42.787127,-71.506788,🆕 Newly geocoded,,,,,,"SNH Speech Therapy & Learning Center, LLC",Speech pathologist,,
Back Bay Speech & Occupational Therapy,"529 Main St, Charlestown, MA 02129",(617) 829-3003,http://backbayspeechtherapy.com/,,617) 829-3003,Speech pathologist,"529 Main St, Charlestown, MA 02129",529 Main St,Charlestown,MA,02129,42.384789,-71.070547,🆕 Newly geocoded,,,,,,Back Bay Speech & Occupational Therapy,Speech pathologist,,
