name,address,phone,website,rating,reviews,latitude,longitude,place_id
Exceptional Speech Therapy,"10200 NW 25th St STE A-108, Doral, FL 33172",(786) 717-5649,http://www.exceptionalspeechtherapy.com/,4.8,197,25.796476,-80.361623,ChIJMzXTaH652YgRaIiMtjwXiN8
Central Florida Therapy Solutions,"2705 Rebecca Ln STE B, Orange City, FL 32763",(386) 532-8255,http://www.centralfloridatherapysolutions.com/,4.9,164,28.906839299999998,-81.2922803,ChIJffKQLVoQ54gREq9IlYFB5ko
Speech Therapy Bio Networks Inc.,"1441 SW 1st St, Miami, FL 33135",(305) 541-3400,http://www.therapymiami.org/,4.8,225,25.772600999999998,-80.218908,ChIJDeh7uu-22YgRd6EhYkfMqgo
Word Therapy Center | Florida | Pediatric Speech Therapy & Pediatric Occupational Therapy,"7313 Professional Pkwy E, Lakewood Ranch, FL 34240",(941) 400-3493,https://wordtherapycenters.com/,5,47,27.377646199999997,-82.4239777,ChIJnxtcZIw5w4gR9mDfJc8eRfc
Bayside Therapy Specialists - Speech Therapy and Occupational Therapy - Clearwater,"1700 McMullen Booth Rd Suite D-4, Clearwater, FL 33759",(813) 435-3355,https://www.baysidetherapyspecialists.com/,4.8,54,27.9831464,-82.71009649999999,ChIJ-WkLn6jvwogREuZHW4FszOk
Florida Board of Speech-Language Pathology & Audiology,"4052 Bald Cypress Way, Tallahassee, FL 32399",(850) 245-4161,http://floridasspeechaudiology.gov/,1.2,31,30.389647399999998,-84.2299463,ChIJDXFtLn1g7IgRe83fgY9GYAw
More Than Speech FL,"861 W Morse Blvd Suite 1, Winter Park, FL 32789",(407) 637-2277,https://www.morethanspeechfl.com/,4.9,95,28.597956699999997,-81.36080059999999,ChIJd_qCV15x54gRuhpHCc_70ko
Clermont Speech and Language Therapy Center,"700 East Grand Hwy, Clermont, FL 34711",(352) 432-3960,https://www.clermontspeechlanguage.com/,4.6,20,28.5651451,-81.74534349999999,ChIJCdMYGe6O54gRcJ-rrnXJV44
"PS SPEECH THERAPY, LLC","13346 SW 39th St, Davie, FL 33330",(954) 558-8034,https://psspeech.com/,5,24,26.0717525,-80.3273404,ChIJr2r5UxSn2YgRrG0EERVZ2xo
Bayside Therapy Specialists - Speech Therapy and Occupational Therapy - New Port Richey,"5647 Gulf Dr, New Port Richey, FL 34652",(813) 435-3355,https://www.baysidetherapyspecialists.com/,4.9,80,28.2391734,-82.7207024,ChIJcdzRxyuUwogRB_5Em_2b76M
All About Speech & Language Therapy Tampa & Occupational Therapy South Tampa,"324 N Dale Mabry Hwy, Tampa, FL 33609",(813) 616-4004,https://aaspeech.com/,5,15,27.9483011,-82.5061101,ChIJcdHWcmLDwogRfFI8MEkWiH4
"Central Florida Therapy Solutions, Inc","455 W Warren Ave STE 200, Longwood, FL 32750",(407) 260-0551,http://www.centralfloridatherapysolutions.com/,4.8,130,28.7007032,-81.353129,ChIJ1Q6wrz9y54gRoc5M257FbP0
"Simple Speech Therapy, LLC","8390 Champions Gate Blvd #205, Championsgate, FL 33896",(407) 900-4474,http://www.simplespeechtherapyfl.com/,5,47,28.2598119,-81.622326,ChIJAetedfJ73YgRSMlFpLiLC5k
Paradise Speech Therapy,"1214 S Andrews Ave STE 301, Fort Lauderdale, FL 33316",(954) 228-4734,https://paradisespeechtherapy.com/,5,19,26.106938399999997,-80.1427734,ChIJzz7o6pYedEIR2mqfoJiDfsw
Rapid Speech Therapy LLC,"122 E Main St #167, Lakeland, FL 33801",(407) 502-3662,https://www.rapidspeechtherapyllc.com/,5,18,28.044272499999998,-81.95642529999999,ChIJi5fBypl7JYERUWY0S27WErk
