name,address,phone,website,rating,reviews,hours,gps_lat,gps_lng,google_url
Fresh Start Speech Therapy,"9957 Moorings Dr STE 301, Jacksonville, FL 32257",(904) 652-6165,/url?q=https://jaxfreshstart.com/&opi=79508299&sa=U&ved=0ahUKEwiO4LeewJ-RAxWBKEQIHcEvBgcQ61gIGigN&usg=AOvVaw3yu5phJBivVk4b7MumkcSb,4.8,30,Closes soon · 1:30 PM · Reopens 2 PM,30.1954677,-81.6180004,ChIJh1xYJ3W35YgRMQbOhHqfAEo
Small Talk Speech Therapy (Jacksonville),"8777 San Jose Blvd #701, Jacksonville, FL 32217",(904) 733-8255,/url?q=http://smalltalkjax.com/&opi=79508299&sa=U&ved=0ahUKEwiO4LeewJ-RAxWBKEQIHcEvBgcQ61gIOSgN&usg=AOvVaw2j1b_5-nFTOlNynqhMuEWY,4.5,47,Open · Closes 7 PM,30.2202761,-81.6146231,ChIJNSWT21nK5YgRRa5JKqCFSkw
More Than A Voice Speech Therapy,"10752 Deerwood Park Blvd, Jacksonville, FL 32256",(407) 214-8220,/url?q=http://mtavspeechtherapy.com/&opi=79508299&sa=U&ved=0ahUKEwiO4LeewJ-RAxWBKEQIHcEvBgcQ61gIVSgN&usg=AOvVaw21xppiClAf6WLGKf7YVER4,4.8,46,Open · Closes 5 PM,30.2470592,-81.530929,ChIJ-3mTrDzJcQcRe3DrlIWxx3s
Broad Horizons Speech Therapy,"9191 R G Skinner Pkwy #103, Jacksonville, FL 32256",(904) 428-8302,/url?q=http://www.broadhorizonsspeech.com/&opi=79508299&sa=U&ved=0ahUKEwiO4LeewJ-RAxWBKEQIHcEvBgcQ61gIdygN&usg=AOvVaw0hsvow_b5n0AqozS3XNPPZ,5,22,Open · Closes 4 PM,30.2122994,-81.5126397,ChIJy8dXoua35YgR9lwkVK_krBc
Atlantic Speech Therapy,"4540 Southside Blvd #504, Jacksonville, FL 32216",,,5,12,Open · Closes 7:30 PM,30.262006,-81.558138,ChIJ2y2XU0o15IgRGKznuExt-FQ
Pediatric Therapy of Riverside,"2574 Park St, Jacksonville, FL 32204",(904) 300-0796,/url?q=http://www.pediatrictherapyofriverside.com/&opi=79508299&sa=U&ved=0ahUKEwiO4LeewJ-RAxWBKEQIHcEvBgcQ61gIswEoDQ&usg=AOvVaw1QhqcrLno96ebrOJtYIxXy,4.8,16,Open · Closes 4 PM,30.3115198,-81.69089509999999,ChIJg_6xd2K35YgRfOp8RkquRm0
"BrainWorks Therapy, LLC: Speech, Language & Literacy","2903 Bernice Ct, Jacksonville, FL 32257",(904) 515-2982,/url?q=http://www.brainworksslp.com/&opi=79508299&sa=U&ved=0ahUKEwiO4LeewJ-RAxWBKEQIHcEvBgcQ61gI0QEoDQ&usg=AOvVaw2VS9U7Xsw5e7yNFrPBu8Ot,5,12,Open · Closes 6 PM,30.195487399999998,-81.6304155,ChIJ_77ebmbJ5YgRclHUl6Y3aus
FAME Speech and Myo,"7807 Baymeadows Rd E #305, Jacksonville, FL 32256",(904) 201-9048,/url?q=http://www.famespeechandmyo.com/&opi=79508299&sa=U&ved=0ahUKEwiO4LeewJ-RAxWBKEQIHcEvBgcQ61gI7gEoDQ&usg=AOvVaw2CukbPZConnvdkDvrvYI3J,5,21,Open · Closes 6 PM,30.2317486,-81.509124,ChIJmTdz1XvQGyERW-1RPiCDBA8
Coastal Pediatric Therapy Center - Mandarin,"6100 Greenland Rd #901, Jacksonville, FL 32258",(904) 372-4070,/url?q=http://coastaltherapy.net/&opi=79508299&sa=U&ved=0ahUKEwiO4LeewJ-RAxWBKEQIHcEvBgcQ61gIjgIoDQ&usg=AOvVaw0jxMslE9up76VCTm8i2noC,5,31,Open · Closes 5:30 PM,30.1607921,-81.54691799999999,ChIJA6kWFLfN5YgRHEROmECCpFU
Speech Pathways of St. Johns,"12627 San Jose Blvd STE 803, Jacksonville, FL 32223",(904) 834-1336,/url?q=http://speechpathwayssj.com/&opi=79508299&sa=U&ved=0ahUKEwiO4LeewJ-RAxWBKEQIHcEvBgcQ61gIrAIoDQ&usg=AOvVaw2zjliniE1yImdaEhID7Eba,5,33,Open · Closes 5 PM,30.1381029,-81.6305977,ChIJYTICtaXN5YgRDIaRKNMF_pY
